2   WORLDWIDE TRADE RESOURCES INC , 01/01/2002 , 01/01/2004
0   POMPEI AD LLC , 01/01/2002 , 01/01/2004
0   WESTFOURTH ARCHITECTURE P C , 01/01/2002 , 01/01/2004
0   SYSTEMS TASK GROUP INTL LTD , 01/01/2002 , 01/01/2004
0   AUERBACH GRAYSON & CO INC , 01/01/2002 , 01/01/2004
0   BEAUTY PLUS TRADING CO INC , 01/01/2002 , 01/01/2004
0   DATAMATICS AMERICA INC , 01/01/2002 , 01/01/2004
2   CANTOR FITZGERALD L P , 01/01/2002 , 01/01/2004
601   IN PLUS INC , 01/01/2002 , 01/01/2004
11   T&R CONSTRUCTION CORP , 01/01/2002 , 01/01/2004
5613   SONY CORPORATION OF AMERICA , 01/01/2002 , 01/01/2004
0   D E SHAW & CO L P , 01/01/2002 , 01/01/2004
59   HOLLIS-EDEN PHARMACEUTICALS , 01/01/2002 , 01/01/2004
0   GOOD MORNING SHINHAN SECURITIES , 01/01/2002 , 01/01/2004
0   DIASPARK INC , 01/01/2002 , 01/01/2004
3   BARCLAYS SERVICES CORP , 01/01/2002 , 01/01/2004
0   SIEMENS CORP/SIEMENS BUSINESS SVCS , 01/01/2002 , 01/01/2004
1   STANDARD NEW YORK SECURITIES INC , 01/01/2002 , 01/01/2004
0   SEENA INTERNATIONAL INC , 01/01/2002 , 01/01/2004
3   ROBERT COUTURIER INC , 01/01/2002 , 01/01/2004
0   1040 SHERMAN AVENUE SUPERMARKET , 01/01/2002 , 01/01/2004
